score_key,direction,threshold,f1,precision,recall,accuracy,specificity,balanced_accuracy,tp,fp,tn,fn,n
low_score_rate_0_8,low_is_c3,-0.8461538461538461,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
mean_minus_std_score,high_is_c3,0.07073207543685273,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
worst_score,low_is_c3,-0.43553251716152935,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
c2_score_std,high_is_c3,0.23123773909015813,0.6391752577319587,0.47692307692307695,0.96875,0.4927536231884058,0.08108108108108109,0.5249155405405406,31,34,3,1,69
consistency_score_file_q25,high_is_c3,0.07589501908991644,0.6391752577319587,0.47692307692307695,0.96875,0.4927536231884058,0.08108108108108109,0.5249155405405406,31,34,3,1,69
consistency_score_file_std,high_is_c3,0.23123773909015813,0.6391752577319587,0.47692307692307695,0.96875,0.4927536231884058,0.08108108108108109,0.5249155405405406,31,34,3,1,69
high_low_ratio_0_8_over_0_2,high_is_c3,0.3333333333333333,0.6382978723404256,0.46875,1.0,0.46875,0.0,0.5,30,34,0,0,64
high_low_ratio_0_8_over_0_2_smoothed,low_is_c3,-3.6666666666666665,0.6382978723404255,0.4838709677419355,0.9375,0.5072463768115942,0.13513513513513514,0.5363175675675675,30,32,5,2,69
high_low_gap_0_8_0_2,low_is_c3,-0.2857142857142857,0.6352941176470588,0.5094339622641509,0.84375,0.5507246376811594,0.2972972972972973,0.5705236486486487,27,26,11,5,69
c2_coding_low05_rate,high_is_c3,0.0,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
c2_coding_low05_rate,low_is_c3,-1.0,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
c2_low05_rate,low_is_c3,-0.7142857142857143,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
c2_max_low_run,low_is_c3,-8.0,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
c2_num_turns,high_is_c3,13.0,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
